FlightDate,Origin,DepDelay,ArrDelay,CRSElapsedTime,ActualElapsedTime
1993-01-01,SLC,8,5,120,117
1993-01-02,SLC,80,99,121,141
1993-01-03,SLC,43,49,121,127
1993-01-04,SLC,23,22,122,121
1993-01-05,SLC,15,12,122,119
1993-01-06,SLC,19,23,121,124
1993-01-07,SLC,15,25,124,133
1993-01-08,SLC,32,38,120,135
1993-01-09,SLC,21,31,122,132
1993-01-10,SLC,21,26,122,127
1993-01-11,SLC,24,36,120,132
1993-01-12,SLC,8,9,120,122
1993-01-13,SLC,18,24,119,125
1993-01-14,SLC,7,11,121,124
1993-01-15,SLC,26,40,124,139
1993-01-16,SLC,11,19,124,133
1993-01-17,SLC,11,14,123,126
1993-01-18,SLC,9,13,121,126
1993-01-19,SLC,8,17,120,129
1993-01-20,SLC,8,9,120,121
1993-01-21,SLC,9,11,121,122
1993-01-22,SLC,11,10,120,119
1993-01-23,SLC,4,2,122,119
1993-01-24,SLC,7,11,121,125
1993-01-25,SLC,3,7,122,126
1993-01-26,SLC,4,6,121,122
1993-01-27,SLC,4,5,120,121
1993-01-28,SLC,5,6,121,121
1993-01-29,SLC,3,4,120,120
1993-01-30,SLC,4,5,122,123
1993-01-31,SLC,3,2,121,120
1993-02-01,SLC,3,5,119,120
1993-02-02,SLC,2,4,120,121
1993-02-03,SLC,4,10,120,126
1993-02-04,SLC,5,7,120,123
1993-02-05,SLC,4,7,120,124
1993-02-06,SLC,3,6,120,123
1993-02-07,SLC,4,4,121,121
1993-02-08,SLC,15,22,120,127
1993-02-09,SLC,0,6,120,125
1993-02-10,SLC,8,17,119,128
1993-02-11,SLC,8,11,120,123
1993-02-12,SLC,10,14,119,123
1993-02-13,SLC,6,4,121,119
1993-02-14,SLC,5,1,120,116
1993-02-15,SLC,9,12,120,123
1993-02-16,SLC,12,14,120,122
1993-02-17,SLC,8,7,120,120
1993-02-18,SLC,13,14,119,120
1993-02-19,SLC,10,10,120,120
1993-02-20,SLC,24,28,122,126
1993-02-21,SLC,17,19,120,121
1993-02-22,SLC,26,27,120,120
1993-02-23,SLC,11,13,121,123
1993-02-24,SLC,14,16,121,124
1993-02-25,SLC,11,17,119,125
1993-02-26,SLC,11,11,122,121
1993-02-27,SLC,6,3,122,119
1993-02-28,SLC,5,5,120,120
1993-03-01,SLC,2,3,119,120
1993-03-02,SLC,2,5,120,123
1993-03-03,SLC,3,5,120,122
1993-03-04,SLC,5,8,119,122
1993-03-05,SLC,5,11,120,126
1993-03-06,SLC,4,5,123,123
1993-03-07,SLC,6,4,121,119
1993-03-08,SLC,3,6,121,123
1993-03-09,SLC,2,1,119,118
1993-03-10,SLC,5,6,120,121
1993-03-11,SLC,9,10,119,120
1993-03-12,SLC,7,5,120,118
1993-03-13,SLC,12,9,114,111
1993-03-14,SLC,19,19,117,117
1993-03-15,SLC,18,18,121,121
1993-03-16,SLC,7,8,120,120
1993-03-17,SLC,12,13,120,121
1993-03-18,SLC,7,8,120,120
1993-03-19,SLC,16,17,120,121
1993-03-20,SLC,8,8,121,121
1993-03-21,SLC,8,6,120,119
1993-03-22,SLC,8,9,119,120
1993-03-23,SLC,5,10,121,126
1993-03-24,SLC,5,11,119,125
1993-03-25,SLC,6,11,119,124
1993-03-26,SLC,3,7,121,126
1993-03-27,SLC,4,9,122,127
1993-03-28,SLC,8,10,120,123
1993-03-29,SLC,6,8,121,122
1993-03-30,SLC,3,7,119,123
1993-03-31,SLC,13,17,120,124
1993-04-01,SLC,11,14,119,122
1993-04-02,SLC,5,8,120,123
1993-04-03,SLC,7,9,122,124
1993-04-04,SLC,3,6,118,122
1993-04-05,SLC,1,3,119,120
1993-04-06,SLC,3,4,119,120
1993-04-07,SLC,1,2,118,120
1993-04-08,SLC,2,4,119,122
1993-04-09,SLC,1,3,118,119
1993-04-10,SLC,3,1,121,119
1993-04-11,SLC,3,1,119,117
1993-04-12,SLC,7,7,119,120
1993-04-13,SLC,2,3,119,120
1993-04-14,SLC,8,9,119,120
1993-04-15,SLC,7,10,119,122
1993-04-16,SLC,3,4,119,120
1993-04-17,SLC,1,2,121,122
1993-04-18,SLC,3,2,120,119
1993-04-19,SLC,6,7,120,121
1993-04-20,SLC,3,2,120,118
1993-04-21,SLC,1,1,119,119
1993-04-22,SLC,3,4,119,120
1993-04-23,SLC,3,1,119,118
1993-04-24,SLC,4,3,121,120
1993-04-25,SLC,3,1,119,117
1993-04-26,SLC,2,1,119,118
1993-04-27,SLC,1,0,119,118
1993-04-28,SLC,2,1,119,118
1993-04-29,SLC,3,2,119,118
1993-04-30,SLC,3,3,119,119
1993-05-01,SLC,0,0,119,119
1993-05-02,SLC,3,3,119,119
1993-05-03,SLC,2,5,119,122
1993-05-04,SLC,3,7,117,121
1993-05-05,SLC,2,6,118,123
1993-05-06,SLC,3,8,119,124
1993-05-07,SLC,0,2,119,120
1993-05-08,SLC,4,12,120,128
1993-05-09,SLC,5,4,119,118
1993-05-10,SLC,2,2,119,119
1993-05-11,SLC,2,3,119,120
1993-05-12,SLC,3,5,118,120
1993-05-13,SLC,3,2,120,120
1993-05-14,SLC,3,5,120,121
1993-05-15,SLC,2,0,120,117
1993-05-16,SLC,6,3,119,116
1993-05-17,SLC,4,3,120,119
1993-05-18,SLC,1,0,119,118
1993-05-19,SLC,4,2,118,116
1993-05-20,SLC,2,2,119,119
1993-05-21,SLC,4,7,119,122
1993-05-22,SLC,1,1,120,120
1993-05-23,SLC,1,0,118,116
1993-05-24,SLC,1,1,120,119
1993-05-25,SLC,3,3,119,120
1993-05-26,SLC,4,6,118,120
1993-05-27,SLC,5,6,120,121
1993-05-28,SLC,5,9,118,122
1993-05-29,SLC,1,2,125,125
1993-05-30,SLC,2,0,124,121
1993-05-31,SLC,5,4,119,118
1993-06-01,SLC,4,2,120,118
1993-06-02,SLC,9,10,120,122
1993-06-03,SLC,3,3,120,120
1993-06-04,SLC,5,7,121,123
