Airport_ID,Name,City,Country,IATA_Code,ICAO_Code,Lat,Long,Altitude,Timezone,DST,Timezone
1,"Goroka","Goroka","Papua New Guinea","GKA","AYGA",-6.081689,145.391881,5282,10,"U","Pacific/Port_Moresby"
2,"Madang","Madang","Papua New Guinea","MAG","AYMD",-5.207083,145.7887,20,10,"U","Pacific/Port_Moresby"
3,"Salt Lake City Intl","Salt Lake City","United States","SLC","KSLC",40.788389,-111.977772,4227,-7,"A","America/Denver"
307,"Florennes","Florennes","Belgium","","EBFS",50.243333,4.645833,935,1,"E","Europe/Brussels"
308,"Wevelgem","Kortrijk-vevelgem","Belgium","QKT","EBKT",50.817222,3.204722,64,1,"E","Europe/Brussels"
309,"Liege","Liege","Belgium","LGG","EBLG",50.637417,5.443222,659,1,"E","Europe/Brussels"
310,"Oostende","Ostend","Belgium","OST","EBOS",51.198889,2.862222,13,1,"E","Europe/Brussels"
311,"Zutendaal","Zutendaal","Belgium","","EBSL",50.9475,5.590556,312,1,"E","Europe/Brussels"
312,"Sint Truiden","Sint-truiden","Belgium","","EBST",50.791944,5.201667,246,1,"E","Europe/Brussels"
313,"Saint Hubert Mil","St.-hubert","Belgium","","EBSU",50.035833,5.404167,1930,1,"E","Europe/Brussels"
314,"Ursel","Ursel","Belgium","","EBUL",51.144133,3.474361,95,1,"E","Europe/Brussels"
315,"Weelde","Weelde","Belgium","","EBWE",51.394783,4.960194,105,1,"E","Europe/Brussels"
316,"Zoersel","Zoersel","Belgium","","EBZR",51.264722,4.753333,53,1,"E","Europe/Brussels"
317,"Bautzen","Bautzen","Germany","BBJ","EDAB",51.193531,14.519747,568,1,"E","Europe/Berlin"
318,"Altenburg Nobitz","Altenburg","Germany","AOC","EDAC",50.981817,12.506361,640,1,"E","Europe/Berlin"
319,"Dessau","Dessau","Germany","","EDAD",51.831828,12.184033,187,1,"E","Europe/Berlin"
320,"Eisenhuttenstadt","Eisenhuettenstadt","Germany","","EDAE",52.197333,14.585667,149,1,"E","Europe/Berlin"
6891,"Putnam County Airport","Greencastle","United States","4I7",\N,39.6335556,-86.8138056,842,-5,"U","America/New_York"
Airport_ID,Name,City,Country,IATA_Code,ICAO_Code,Lat,Long,Altitude,Timezone,DST,Timezone
1,"Goroka","Goroka","Papua New Guinea","GKA","AYGA",-6.081689,145.391881,5282,10,"U","Pacific/Port_Moresby"
2,"Madang","Madang","Papua New Guinea","MAG","AYMD",-5.207083,145.7887,20,10,"U","Pacific/Port_Moresby"
3,"Salt Lake City Intl","Salt Lake City","United States","SLC","KSLC",40.788389,-111.977772,4227,-7,"A","America/Denver"
307,"Florennes","Florennes","Belgium","","EBFS",50.243333,4.645833,935,1,"E","Europe/Brussels"
308,"Wevelgem","Kortrijk-vevelgem","Belgium","QKT","EBKT",50.817222,3.204722,64,1,"E","Europe/Brussels"
309,"Liege","Liege","Belgium","LGG","EBLG",50.637417,5.443222,659,1,"E","Europe/Brussels"
310,"Oostende","Ostend","Belgium","OST","EBOS",51.198889,2.862222,13,1,"E","Europe/Brussels"
311,"Zutendaal","Zutendaal","Belgium","","EBSL",50.9475,5.590556,312,1,"E","Europe/Brussels"
312,"Sint Truiden","Sint-truiden","Belgium","","EBST",50.791944,5.201667,246,1,"E","Europe/Brussels"
313,"Saint Hubert Mil","St.-hubert","Belgium","","EBSU",50.035833,5.404167,1930,1,"E","Europe/Brussels"
314,"Ursel","Ursel","Belgium","","EBUL",51.144133,3.474361,95,1,"E","Europe/Brussels"
315,"Weelde","Weelde","Belgium","","EBWE",51.394783,4.960194,105,1,"E","Europe/Brussels"
316,"Zoersel","Zoersel","Belgium","","EBZR",51.264722,4.753333,53,1,"E","Europe/Brussels"
317,"Bautzen","Bautzen","Germany","BBJ","EDAB",51.193531,14.519747,568,1,"E","Europe/Berlin"
318,"Altenburg Nobitz","Altenburg","Germany","AOC","EDAC",50.981817,12.506361,640,1,"E","Europe/Berlin"
319,"Dessau","Dessau","Germany","","EDAD",51.831828,12.184033,187,1,"E","Europe/Berlin"
320,"Eisenhuttenstadt","Eisenhuettenstadt","Germany","","EDAE",52.197333,14.585667,149,1,"E","Europe/Berlin"
6891,"Putnam County Airport","Greencastle","United States","4I7",\N,39.6335556,-86.8138056,842,-5,"U","America/New_York"
366,"Meinerzhagen","Meinerzhagen","Germany","","EDKZ",51.099445,7.601944,1548,1,"E","Europe/Berlin"
367,"Arnsberg Menden","Arnsberg","Germany","ZCA","EDLA",51.483333,7.899333,794,1,"E","Europe/Berlin"
368,"Essen Mulheim","Essen","Germany","ESS","EDLE",51.402333,6.937333,424,1,"E","Europe/Berlin"
369,"Bielefeld","Bielefeld","Germany","","EDLI",51.964833,8.544833,454,1,"E","Europe/Berlin"
370,"Monchengladbach","Moenchengladbach","Germany","MGL","EDLN",51.230356,6.504494,125,1,"E","Europe/Berlin"
371,"Paderborn Lippstadt","Paderborn","Germany","PAD","EDLP",51.614089,8.616317,699,1,"E","Europe/Berlin"
372,"Stadtlohn Vreden","Stadtlohn","Germany","","EDLS",51.995844,6.840667,157,1,"E","Europe/Berlin"
373,"Dortmund","Dortmund","Germany","DTM","EDLW",51.518314,7.612242,425,1,"E","Europe/Berlin"
374,"Augsburg","Augsburg","Germany","AGB","EDMA",48.425158,10.931764,1515,1,"E","Europe/Berlin"
375,"Biberach An Der Riss","Biberach","Germany","","EDMB",48.111,9.762833,1903,1,"E","Europe/Berlin"
376,"Eggenfelden","Eggenfelden","Germany","","EDME",48.396167,12.723667,1342,1,"E","Europe/Berlin"
377,"Mindelheim Mattsies","Mindelheim","Germany","","EDMN",48.108833,10.524333,1857,1,"E","Europe/Berlin"
378,"Oberpfaffenhofen","Oberpfaffenhofen","Germany","OBF","EDMO",48.081364,11.283067,1947,1,"E","Europe/Berlin"
379,"Straubing","Straubing","Germany","","EDMS",48.90095,12.518186,1054,1,"E","Europe/Berlin"
380,"Vilshofen","Vilshofen","Germany","","EDMV",48.635167,13.195667,991,1,"E","Europe/Berlin"
381,"Leutkirch Unterzeil","Leutkirch","Germany","","EDNL",47.859117,10.014572,2099,1,"E","Europe/Berlin"
382,"Friedrichshafen","Friedrichshafen","Germany","FDH","EDNY",47.671317,9.511486,1367,1,"E","Europe/Berlin"
383,"Schwerin Parchim","Parchim","Germany","SZW","EDOP",53.426997,11.783436,166,1,"E","Europe/Berlin"
384,"Stendal Borstel","Stendal","Germany","ZSN","EDOV",52.627778,11.818333,184,1,"E","Europe/Berlin"
385,"Aalen Heidenheim Elchingen","Aalen-heidenheim","Germany","","EDPA",48.777833,10.264667,1916,1,"E","Europe/Berlin"
386,"Bayreuth","Bayreuth","Germany","BYU","EDQD",49.984428,11.638569,1601,1,"E","Europe/Berlin"
387,"Burg Feuerstein","Burg Feuerstein","Germany","","EDQE",49.793833,11.133167,1674,1,"E","Europe/Berlin"
388,"Hof Plauen","Hof","Germany","HOQ","EDQM",50.288836,11.854919,1960,1,"E","Europe/Berlin"
389,"Hassfurt Schweinfurt","Hassfurt","Germany","","EDQT",50.018,10.5295,718,1,"E","Europe/Berlin"
390,"Koblenz Winningen","Koblenz","Germany","ZNV","EDRK",50.3255,7.528667,640,1,"E","Europe/Berlin"
391,"Trier Fohren","Trier","Germany","ZQF","EDRT",49.8635,6.788167,665,1,"E","Europe/Berlin"
392,"Speyer","Speyer","Germany","ZQC","EDRY",49.302776,8.451195,312,1,"E","Europe/Berlin"
393,"Zweibrucken","Zweibruecken","Germany","","EDRZ",49.209525,7.400647,1133,1,"E","Europe/Berlin"
394,"Donaueschingen Villingen","Donaueschingen","Germany","ZQL","EDTD",47.973331,8.522223,2231,1,"E","Europe/Berlin"
395,"Freiburg","Freiburg","Germany","","EDTF",48.022653,7.832583,799,1,"E","Europe/Berlin"
396,"Mengen Hohentengen","Mengen","Germany","","EDTM",48.053833,9.372833,1820,1,"E","Europe/Berlin"
397,"Schwabisch Hall","Schwaebisch Hall","Germany","","EDTY",49.118317,9.783956,1311,1,"E","Europe/Berlin"
398,"Finsterwalde Schacksdorf","Soest","Germany","","EDUS",51.6075,13.738,399,1,"E","Europe/Berlin"
399,"Braunschweig Wolfsburg","Braunschweig","Germany","BWE","EDVE",52.319167,10.556111,295,1,"E","Europe/Berlin"
400,"Kassel Calden","Kassel","Germany","KSF","EDVK",51.408394,9.377631,908,1,"E","Europe/Berlin"
